FIP;County_Name;pop1970;pop1971;pop1972;pop1973;pop1974;pop1975;pop1976;pop1977;pop1978;pop1979;pop1980;pop1981;pop1982;pop1983;pop1984;pop1985;pop1986;pop1987;pop1988;pop1989;pop1990;pop1991;pop1992;pop1993;pop1994;pop1995;pop1996;pop1997;pop1998;pop1999;pop2000;pop2001;pop2002;pop2003;pop2004;pop2005;pop2006;pop2007;pop2008;pop2009;pop2010;pop2011;pop2012;pop2013;pop2014;pop2015;pop2016
48429;Stephens County;8414;8600;8700;8200;8400;8600;8900;9100;9400;9600;9926;10231;10895;10810;10591;10494;10702;10378;9730;9236;8952;8644;8606;8733;8897;9595;9753;9946;9732;9737;9637;9446;9354;9370;9286;9363;9396;9458;9520;9632;9607;9518;9579;9349;9375;9440;9440
48431;Sterling County;1056;1100;1100;1000;1000;1000;1000;1100;1100;1200;1206;1278;1401;1508;1581;1632;1641;1525;1514;1495;1427;1453;1506;1522;1518;1470;1413;1366;1384;1328;1373;1363;1357;1327;1307;1251;1185;1219;1249;1259;1138;1169;1189;1232;1352;1352;1352
48433;Stonewall County;2397;2500;2300;2300;2300;2300;2300;2200;2300;2300;2406;2401;2424;2501;2464;2329;2268;2205;2176;2083;1995;1992;1996;1984;1966;1901;1786;1811;1796;1715;1677;1568;1473;1429;1396;1351;1368;1376;1384;1354;1495;1478;1468;1429;1397;1410;1410
48435;Sutton County;3175;3200;3100;3400;3800;4300;4700;5000;4700;5100;5130;5545;5878;5936;5674;5495;5262;4667;4456;4146;4123;4302;4189;4194;4240;4411;4402;4424;4468;4309;4029;4036;4073;4022;4114;4190;4283;4294;4311;4273;4060;4013;3931;4001;3971;3913;3913
48437;Swisher County;10373;10500;10500;10600;10300;10400;10400;10100;10100;10000;9723;9539;9261;9107;8970;8937;8875;8691;8640;8424;8076;7970;8301;8503;8567;8586;8449;8345;8280;8262;8359;8228;8017;7958;7857;7744;7691;7631;7555;7424;7891;7823;7878;7747;7584;7533;7533
48439;Tarrant County;715587;726400;721900;727100;746200;759000;781100;794100;809800;835100;860880;895556;933829;967408;1001836;1043207;1083641;1116110;1133193;1149530;1176316;1201372;1217882;1232160;1254153;1273879;1298205;1325526;1354040;1382442;1454402;1488516;1523284;1552186;1580347;1612195;1662902;1709745;1749974;1789900;1816528;1848011;1882338;1913437;1946346;1982498;1982498
48441;Taylor County;97853;99800;103300;102500;103500;105300;107000;106200;107000;108600;110932;115025;119410;121793;122280;122466;124470;123334;120515;120302;119536;118851;121092;121048;120891;122098;121206;121579;122036;122478;126468;125455;125341;125264;125753;125978;126082;126542;126651;127683;131868;132864;134201;134016;135044;136051;136051
48443;Terrell County;1940;1800;2000;1900;1900;1800;1700;1700;1600;1600;1595;1614;1568;1609;1587;1571;1558;1580;1555;1526;1379;1372;1352;1390;1329;1311;1235;1185;1174;1202;1061;1023;1019;1007;956;962;944;917;919;969;1009;949;914;883;893;837;837
48445;Terry County;14118;14500;14700;14500;14100;14500;14200;14400;14500;14600;14581;14674;15015;15023;14920;14732;14543;13836;13781;13431;13168;13051;12948;12827;12736;13048;12995;12988;12892;12786;12707;12432;12476;12411;12365;12207;12197;12141;12083;12142;12663;12647;12598;12679;12773;12739;12739
48447;Throckmorton County;2205;2400;2300;2300;2200;2100;2100;2000;2000;2000;2053;2141;2250;2304;2399;2189;2201;2057;1997;1961;1860;1840;1802;1795;1815;1822;1766;1710;1704;1695;1834;1793;1739;1693;1634;1672;1681;1624;1596;1593;1632;1640;1605;1606;1614;1579;1579
