XCoord;YCoord
-169930,189;-328707,304
-169756,095;-328804,962
-169582,393;-328903,315
-169409,085;-329002,361
-169236,175;-329102,098
-169063,663;-329202,525
-168891,555;-329303,640
-168719,851;-329405,442
-168548,556;-329507,928
-168377,671;-329611,098
-168207,199;-329714,950
-168037,144;-329819,482
-167867,508;-329924,692
-167698,293;-330030,578
-167529,502;-330137,140
-167361,139;-330244,375
-167193,204;-330352,282
-167025,703;-330460,858
-166858,636;-330570,103
-166692,007;-330680,013
-166525,818;-330790,589
-166360,072;-330901,827
-166194,772;-331013,727
-166029,920;-331126,286
-165865,519;-331239,502
-165701,571;-331353,374
-165538,080;-331467,900
-165375,047;-331583,078
-165212,475;-331698,906
-165050,368;-331815,382
-164888,726;-331932,505
-164727,554;-332050,273
-164566,854;-332168,684
-164406,628;-332287,735
-164246,878;-332407,425
-164087,608;-332527,753
-163928,820;-332648,715
-163770,516;-332770,311
-163612,699;-332892,538
-163455,371;-333015,395
-163298,536;-333138,878
-163142,194;-333262,987
-162986,350;-333387,720
-162831,005;-333513,074
-162676,162;-333639,048
-162521,824;-333765,638
-162367,992;-333892,845
-162214,669;-334020,664
-162061,858;-334149,095
-161909,562;-334278,136
-161757,782;-334407,783
-161606,521;-334538,036
-161455,781;-334668,892
-161305,565;-334800,349
-161155,876;-334932,404
-161006,715;-335065,057
-160858,085;-335198,304
-160709,988;-335332,144
-160562,427;-335466,574
-160415,405;-335601,592
-160268,922;-335737,197
-160122,983;-335873,385
-159977,588;-336010,156
-159832,741;-336147,505
-159688,444;-336285,433
-159544,698;-336423,935
-159401,507;-336563,011
-159258,873;-336702,657
-159116,797;-336842,872
-158975,283;-336983,653
-158834,332;-337124,998
-158693,947;-337266,905
-158554,129;-337409,372
-158414,882;-337552,396
-158276,207;-337695,975
-158138,106;-337840,106
-158000,583;-337984,788
-157863,638;-338130,019
-157727,274;-338275,795
-157591,494;-338422,114
-157456,299;-338568,974
-157321,692;-338716,374
-157187,674;-338864,309
-157054,249;-339012,779
-156921,417;-339161,781
-156789,182;-339311,312
-156657,545;-339461,369
-156526,508;-339611,952
-156396,074;-339763,056
-156266,244;-339914,681
-156137,021;-340066,822
-156008,406;-340219,479
-155880,403;-340372,647
-155753,012;-340526,326
-155626,236;-340680,513
-155500,076;-340835,204
-155374,536;-340990,399
-155249,616;-341146,093
-155125,319;-341302,285
-155001,647;-341458,972
-154803,331;-341452,513
-154604,991;-341446,842
-154406,629;-341441,959
-154208,250;-341437,864
-154009,856;-341434,558
-153811,451;-341432,040
-153613,037;-341430,310
-153414,618;-341429,370
-153216,197;-341429,217
-153017,776;-341429,854
-152819,360;-341431,279
-152620,951;-341433,492
-152422,552;-341436,494
-152224,167;-341440,284
-152025,799;-341444,863
-151827,450;-341450,230
-151629,124;-341456,385
-151430,824;-341463,328
-151232,553;-341471,060
-151034,315;-341479,579
-150836,112;-341488,886
-150637,948;-341498,980
-150439,825;-341509,862
-150241,747;-341521,532
-150043,717;-341533,988
-149845,738;-341547,231
-149647,813;-341561,261
-149449,946;-341576,078
-149252,139;-341591,680
-149054,396;-341608,069
-148856,719;-341625,243
-148659,112;-341643,203
-148461,578;-341661,948
-148264,120;-341681,478
-148066,741;-341701,793
-147869,445;-341722,891
-147672,234;-341744,774
-147475,111;-341767,440
-147278,080;-341790,889
-147081,144;-341815,122
-146884,306;-341840,136
-146687,569;-341865,933
-146490,936;-341892,511
-146294,409;-341919,871
-146097,994;-341948,011
-145901,691;-341976,932
-145705,505;-342006,633
-145509,439;-342037,113
-145313,495;-342068,372
-145117,678;-342100,410
-144921,989;-342133,225
-144726,431;-342166,818
-144531,009;-342201,188
-144335,726;-342236,334
-144140,583;-342272,256
-143945,585;-342308,953
-143750,734;-342346,425
-143556,033;-342384,671
-143361,486;-342423,690
-143167,096;-342463,482
-142972,865;-342504,047
-142778,797;-342545,383
-142584,895;-342587,490
-142391,162;-342630,367
-142197,600;-342674,014
-142004,214;-342718,429
-141811,005;-342763,613
-141617,978;-342809,564
-141425,135;-342856,282
-141232,479;-342903,766
-141040,014;-342952,016
-140847,741;-343001,030
-140655,665;-343050,807
-140463,788;-343101,348
-140272,114;-343152,650
-140080,645;-343204,714
-139889,384;-343257,539
-139698,335;-343311,123
-139507,500;-343365,466
-139316,883;-343420,567
-139126,486;-343476,425
-138936,313;-343533,039
-138746,366;-343590,409
-138556,649;-343648,533
-138367,164;-343707,410
-138177,915;-343767,040
-137988,904;-343827,422
-137800,135;-343888,554
-137611,610;-343950,436
-137423,332;-344013,067
-137235,305;-344076,446
-137047,531;-344140,571
-136860,014;-344205,442
-136672,756;-344271,058
-136485,760;-344337,417
-136299,029;-344404,519
-136112,567;-344472,363
-135926,375;-344540,947
-135740,458;-344610,270
-135554,817;-344680,332
-135369,457;-344751,131
-135184,379;-344822,666
-134999,587;-344894,936
-134815,083;-344967,940
-134630,872;-345041,676
-134446,954;-345116,144
-134263,335;-345191,343
-134080,015;-345267,270
-133896,999;-345343,925
-133714,288;-345421,307
-133531,887;-345499,415
-133349,798;-345578,247
-133168,023;-345657,802
-132986,566;-345738,078
-132805,429;-345819,075
-132624,616;-345900,792
-132444,128;-345983,226
-132263,970;-346066,377
-132084,144;-346150,243
-131904,652;-346234,823
-126201,453;-348934,996
-126024,088;-349019,281
-125847,062;-349104,278
-125670,378;-349189,983
-125494,040;-349276,397
-125318,049;-349363,518
-125142,410;-349451,344
-124967,125;-349539,874
-124792,196;-349629,106
-124617,626;-349719,040
-124443,419;-349809,673
-124269,576;-349901,004
-124096,102;-349993,032
-123922,998;-350085,755
-123750,267;-350179,172
-123577,912;-350273,281
-123405,937;-350368,081
-123234,343;-350463,570
-123063,134;-350559,747
-122892,312;-350656,610
-122721,880;-350754,157
-122551,840;-350852,387
-122382,196;-350951,299
-122212,950;-351050,890
-122044,105;-351151,160
-121875,664;-351252,106
-121707,629;-351353,727
-121540,003;-351456,021
-121372,789;-351558,987
-121205,989;-351662,623
-121039,607;-351766,928
-120845,887;-351726,300
-120652,007;-351686,443
-120457,969;-351647,358
-120263,778;-351609,045
-120069,436;-351571,505
-119874,947;-351534,738
-119680,312;-351498,745
-119485,536;-351463,526
-119290,622;-351429,082
-119095,572;-351395,414
-118900,389;-351362,522
-118705,077;-351330,407
-118509,639;-351299,068
-118314,078;-351268,508
-118118,397;-351238,725
-117922,599;-351209,721
-117726,688;-351181,496
-117530,665;-351154,051
-117334,535;-351127,385
-117138,301;-351101,500
-116941,965;-351076,396
-116745,530;-351052,072
-116549,001;-351028,530
-116352,379;-351005,770
-116155,669;-350983,793
-115958,872;-350962,598
-115761,993;-350942,186
-115565,034;-350922,557
-115367,999;-350903,712
-115170,890;-350885,650
-114973,711;-350868,373
-114776,465;-350851,880
-114579,155;-350836,172
-114381,784;-350821,249
-114184,355;-350807,111
-113986,871;-350793,758
-113789,336;-350781,191
-113591,752;-350769,410
-113394,123;-350758,415
-113196,452;-350748,206
-112998,742;-350738,783
-112800,996;-350730,147
-112603,217;-350722,297
-112405,409;-350715,235
-112207,574;-350708,959
-112009,716;-350703,470
-111811,837;-350698,768
-111613,941;-350694,853
-111416,031;-350691,725
-111218,111;-350689,385
-111020,182;-350687,831
-110822,249;-350687,066
-110624,315;-350687,087
-110426,382;-350687,896
-110228,454;-350689,492
-110030,534;-350691,875
-109832,625;-350695,045
-109634,730;-350699,003
-109436,852;-350703,748
-109238,995;-350709,280
-109041,161;-350715,598
-108843,354;-350722,704
-108645,577;-350730,596
-108447,833;-350739,275
-108250,125;-350748,741
-108052,456;-350758,992
-107854,830;-350770,030
-107657,249;-350781,854
-107459,716;-350794,464
-107262,236;-350807,859
-107064,810;-350822,040
-106867,442;-350837,006
-106670,135;-350852,757
-106472,893;-350869,292
-106275,717;-350886,612
-106078,612;-350904,716
-105881,581;-350923,604
-105684,627;-350943,275
-105487,752;-350963,730
-105303,367;-350892,318
-105118,700;-350821,639
-104933,754;-350751,694
-104748,532;-350682,484
-104563,037;-350614,009
-104377,271;-350546,271
-104191,238;-350479,272
-104004,940;-350413,011
-103818,380;-350347,491
-103631,562;-350282,711
-103444,489;-350218,674
-103257,162;-350155,381
-103069,586;-350092,831
-102881,762;-350031,027
-102693,695;-349969,968
-102505,387;-349909,657
-102316,841;-349850,094
-102128,060;-349791,280
-101939,047;-349733,216
-101749,805;-349675,903
-101560,337;-349619,341
-101370,646;-349563,532
-101180,735;-349508,477
-100990,607;-349454,176
-100800,264;-349400,631
-100609,711;-349347,841
-100418,949;-349295,808
-100227,983;-349244,533
-100036,814;-349194,017
-99845,447;-349144,260
-99653,883;-349095,263
-99462,126;-349047,027
-99270,179;-348999,553
-99078,046;-348952,841
-98885,728;-348906,893
-98693,230;-348861,708
-98500,553;-348817,288
