fips;areaname;pop1970;pop1971;pop1972;pop1973;pop1974;pop1975;pop1976;pop1977;pop1978;pop1979;pop1980;pop1981;pop1982;pop1983;pop1984;pop1985;pop1986;pop1987;pop1988;pop1989;pop1990;pop1991;pop1992;pop1993;pop1994;pop1995;pop1996;pop1997;pop1998;pop1999;pop2000;pop2001;pop2002;pop2003;pop2004;pop2005;pop2006;pop2007;pop2008;pop2009;pop2010;pop2011;pop2012;pop2013;pop2014
40041;Delaware County;17767;18800;19200;19700;20100;20300;20600;21500;22000;23900;23946;24477;25340;26314;26533;26914;27157;27545;27796;28001;28099;28464;29289;30082;31106;32216;33122;33788;34305;34977;37195;37643;37935;38504;38797;38980;39873;40511;40463;40555;41527;41356;41373;41371;41446
40043;Dewey County;5656;5700;5500;5500;5300;5300;5500;5600;5800;6000;5922;6054;6501;6711;6456;6200;6155;5947;5715;5647;5540;5482;5440;5299;5227;5131;5068;4983;4923;4859;4708;4597;4513;4471;4512;4398;4369;4368;4416;4404;4818;4755;4779;4817;4914
40045;Ellis County;5129;5400;5300;5200;5200;5300;5400;5300;5500;5800;5596;5976;6410;6365;5986;5598;5257;5050;4728;4652;4471;4407;4350;4328;4231;4223;4210;4206;4245;4194;4043;3896;3954;3909;3909;3870;3769;3836;3877;3925;4155;4047;4075;4140;4150
40047;Garfield County;56343;57600;57600;56500;57600;58700;60100;61100;61900;62300;62820;64500;67597;67225;65759;64151;62550;59858;57691;57178;56649;56302;56447;56405;56667;57149;56864;56799;56939;56954;57690;57181;57115;57149;57169;56940;57145;57434;58053;58928;60730;60669;61318;62509;63091
40049;Garvin County;24874;25900;26300;26200;26500;26900;27000;26900;27300;27400;27856;28684;29893;30552;30118;29350;29199;28230;27418;26843;26573;26570;26545;26527;26648;26755;26724;26807;26808;26720;27257;27021;27040;26964;26787;26864;26955;27074;27128;27113;27533;27364;27270;27376;27561
40051;Grady County;29354;30600;32100;32900;34000;35000;36100;36900;37500;38700;39490;40943;43836;45454;45098;45013;43899;43089;42587;42247;41681;41781;41983;42532;43015;43861;44859;45428;45765;46084;45570;45844;46620;47080;47929;48942;50051;50428;51099;51649;52485;52775;53054;53635;53854
40053;Grant County;7117;7000;6900;6900;6700;6700;7000;6900;6700;6600;6518;6704;6669;6792;6725;6617;6470;6216;5974;5757;5679;5579;5497;5572;5564;5464;5483;5427;5339;5237;5124;5019;4931;4865;4696;4656;4513;4482;4448;4317;4536;4547;4510;4521;4501
40055;Greer County;7979;7700;7600;7500;7400;7300;7300;7200;6900;6900;7028;7244;7479;7537;7317;7097;6901;6913;6875;6710;6536;6438;6389;6417;6475;6690;6625;6439;6357;6387;6035;5837;5861;5781;5807;5799;5739;5803;5820;5830;6203;6149;6056;6162;6151
40057;Harmon County;5136;4900;4800;4800;4800;5000;5200;5000;5000;4900;4519;4632;4555;4458;4382;4286;4113;4041;3933;3896;3775;3719;3645;3634;3575;3604;3569;3522;3476;3336;3273;3155;3050;2986;2939;2955;2916;2833;2834;2843;2917;2929;2900;2869;2798
40059;Harper County;5151;4800;4700;4700;4800;4900;4900;4900;4800;4700;4715;4926;5046;5049;4852;4654;4508;4412;4359;4117;4051;3970;3870;3873;3875;3814;3746;3613;3593;3580;3547;3421;3414;3321;3341;3301;3333;3302;3385;3377;3691;3706;3693;3833;3812
40061;Haskell County;9578;9900;9800;9700;10000;10200;10400;10500;10700;10900;11010;11164;11153;11453;11373;11445;11320;11160;11053;10963;10951;10864;10961;10908;10980;11201;11254;11362;11359;11421;11827;11755;11728;11870;11955;11952;12058;12102;12266;12393;12746;12717;12867;12970;12896
40063;Hughes County;13228;13500;14000;13900;14100;14500;14500;14500;14200;14300;14338;14388;14522;14721;14617;14233;14105;13967;13499;13234;12975;12893;12812;12731;12781;12949;13670;14051;14102;14064;14123;13876;13934;13833;13762;13717;13605;13651;13630;13819;14014;13849;13785;13746;13806
40065;Jackson County;30902;32100;32000;31900;32400;32100;33400;32500;31600;30100;30356;29956;30292;31464;31760;31313;30810;30796;29995;29395;28624;28417;28664;28813;28960;29741;29851;28374;28536;28392;28254;27890;27347;27203;27181;26471;26241;25739;25336;25369;26472;26420;26261;26224;25998
40067;Jefferson County;7125;7400;7800;7700;7800;7900;7900;8100;8300;8200;8294;8158;8418;8596;8135;7956;7632;7394;7177;7153;7001;6967;6945;6923;6941;6812;6716;6658;6578;6518;6769;6646;6508;6466;6417;6375;6289;6228;6231;6319;6454;6444;6335;6358;6292
40069;Johnston County;7870;8100;8500;8800;9100;9400;9800;10000;10100;10300;10356;10538;10445;10835;10741;10641;10673;10668;10453;10115;10025;9960;10105;9983;10125;10136;10156;10345;10302;10310;10516;10437;10386;10351;10243;10203;10421;10458;10428;10468;10996;11086;11005;11026;11103
40071;Kay County;48791;48900;48400;48400;47800;48200;49100;49400;49600;49300;49852;50891;52236;53113;52520;51627;50891;50143;48775;48494;47975;48059;48567;48287;47682;47535;47137;46745;46572;46448;47944;47437;47529;47107;46590;46079;45760;45955;45886;46110;46428;45799;45657;45543;45478
40073;Kingfisher County;12857;12900;12800;12700;12900;13000;13600;14000;14200;13800;14187;14959;16193;16372;16212;15755;15350;14512;14035;13534;13166;13036;13000;13048;13202;13355;13451;13473;13480;13496;13884;13843;13816;13961;13974;14076;14092;14279;14264;14384;15050;15112;14996;15322;15532
40075;Kiowa County;12532;12400;12200;12100;12400;12500;12600;12500;12700;12800;12711;12844;13006;13283;13100;12497;11962;11933;11922;11450;11345;11189;11079;11176;11062;11032;10832;10842;10671;10498;10198;10022;9949;9859;9743;9771;9540;9300;9246;9101;9430;9408;9343;9376;9336
40077;Latimer County;8601;8700;9200;9700;9700;10100;9900;9800;9700;9500;9840;9855;9841;10001;9969;9962;10105;10064;10175;10320;10355;10632;10476;10267;10258;10341;10262;10269;10276;10204;10652;10574;10577;10496;10515;10485;10487;10442;10576;10621;11139;11114;10941;10718;10693
40079;Le Flore County;32137;33400;34100;34400;35700;36800;37300;38200;38900;40300;40698;40053;40561;41321;41740;41819;42245;43016;43061;43052;43396;43533;43584;44386;44808;45622;45912;46428;46662;46770;48128;48033;48337;48429;48618;48852;49200;49625;49806;49915;50470;50227;49935;49847;49761
40081;Lincoln County;19482;20300;21000;21700;22200;22400;22900;23400;24100;25600;26601;27382;28262;29311;30066;30411;30161;29687;29203;29483;29128;29374;29326;29758;30021;30507;30893;31069;31318;31811;32127;32084;32090;32064;32062;31987;32203;32217;32070;32199;34328;34329;34215;34339;34619
40083;Logan County;19645;21500;22500;23100;23600;24100;24300;24700;25300;25900;26881;27606;28684;30239;31178;30989;30556;29951;29505;29091;29003;29155;29420;29942;29827;29901;29637;29918;30087;30437;33942;34517;34703;35393;34968;35399;35756;37330;38424;39301;42058;43097;43668;44401;45276
40085;Love County;5637;5900;6200;6400;6600;6900;7200;7200;7300;7500;7469;7447;7862;8113;8107;8088;8129;8222;8077;8250;7783;7897;8024;8034;8247;8358;8579;8569;8550;8581;8827;8729;8793;8843;8943;9028;9048;9062;9097;9124;9434;9387;9563;9713;9773
40087;McClain County;14157;14900;15800;16800;17600;18200;18400;19100;19800;19900;20291;20862;21855;23276;23772;24045;23896;23331;22886;22699;22859;23075;23422;24011;24595;25177;25429;25797;26206;26706;27847;27787;28018;28575;29033;29912;30920;31892;32487;33168;34731;35154;35587;36516;37313
40089;McCurtain County;28642;31500;33800;35000;36200;37000;34200;34900;37000;36600;36151;35788;35179;35601;34696;34697;34358;34337;34108;33855;33397;33269;33593;33705;33809;34360;34617;34578;34779;34795;34389;34030;33915;33773;33475;33458;33467;33472;33489;33370;33182;33248;33229;33110;33050
40091;McIntosh County;12472;12600;12700;13000;13100;13600;14000;14100;14500;15200;15562;15770;16312;16874;16922;17128;17124;17117;17004;16681;16770;16904;17127;17560;18046;18463;18504;18787;19006;19269;19478;19450;19501;19472;19440;19388;19476;19659;19629;19801;20282;20306;20522;20472;20088
40093;Major County;7529;7500;7600;7900;8100;8300;8400;8300;8600;8900;8772;9234;9724;9685;9439;9174;8879;8658;8558;8295;8003;7882;7798;7656;7739;7728;7696;7773;7804;7659;7529;7529;7474;7301;7256;7171;7200;7184;7132;7189;7501;7611;7659;7673;7750
40095;Marshall County;7682;8300;8500;8500;8700;8900;9300;9500;9800;10500;10550;10811;10970;11260;11331;11274;11482;11180;11026;10870;10831;10975;11210;11445;11497;11780;11877;12057;12251;12377;13150;13312;13533;13629;13901;14365;14594;14871;14958;15014;15844;15893;15913;15989;16182
40097;Mayes County;23302;23900;24700;25700;26300;28100;29100;29800;30500;31600;32261;32617;33314;34162;34862;34133;33864;33488;33159;33132;33441;33877;34302;34822;35277;35918;36480;37067;37635;38270;38430;38449;38476;38660;38843;39049;39361;39769;40084;40065;41296;41289;41111;40908;40816
40099;Murray County;10669;10500;10900;10800;10800;10800;10800;10800;10900;12000;12147;12500;13031;13431;13360;12997;12989;12680;12502;12308;11973;12022;12112;11981;11969;12179;12440;12383;12329;12477;12589;12655;12581;12565;12500;12566;12685;12646;12787;12960;13514;13616;13640;13709;13803
40101;Muskogee County;59542;60000;60000;60900;61200;62200;64100;65400;65900;65800;67033;67684;68169;70265;70692;70264;69760;69527;68346;67840;68171;68509;68916;69133;69568;69623;69755;69797;70091;70091;69412;69506;69508;69950;69903;70210;70431;70686;70750;71412;71105;70725;70528;70269;69966
40103;Noble County;10043;10100;10000;10000;10400;10500;10600;10800;10900;11500;11573;11559;11820;12228;11995;11921;11845;11620;11417;11160;11035;11088;11096;11211;11196;11261;11201;11290;11362;11334;11378;11413;11266;11237;11179;11112;11030;10964;11000;10950;11561;11549;11505;11379;11494
40105;Nowata County;9773;10000;10200;10300;10400;10600;10600;10700;10800;11100;11486;11883;11970;11877;11517;11138;10876;10538;10389;10166;9945;9879;9843;9838;9754;9868;9841;9887;9980;10079;10594;10594;10552;10776;10595;10621;10650;10708;10725;10528;10513;10618;10582;10539;10524
40107;Okfuskee County;10683;10700;10900;11200;11200;11400;11400;11300;11400;11400;11125;11455;11732;12281;12114;11957;11974;11901;11790;11500;11567;11304;11255;11222;11159;11249;11288;11350;11392;11242;11824;11719;11569;11538;11436;11263;11191;11186;11107;10924;12222;12299;12303;12291;12186
40109;Oklahoma County;527717;542600;549200;551100;546900;549900;552300;554000;560200;559700;568933;581207;601966;619780;621481;620966;614469;601241;599675;601066;599916;603982;610581;616886;622251;623411;627298;630850;632865;636539;661841;665401;672324;676646;679913;685871;693007;699523;706116;716704;721094;730111;742635;755668;766215
